INDEX;ORT;RICHTUNG;BETRAG;MONAT
80;Basel;Ausgang;36022;9
81;Lausanne;Eingang;38409;3
82;Chur;Ausgang;23490;7
83;Sion;Eingang;28803;10
84;St. Gallen;Ausgang;53717;10
85;Bern;Eingang;48183;3
86;Zürich;Ausgang;63502;7
87;Basel;Eingang;66925;5
88;Lausanne;Ausgang;64369;5
89;Chur;Eingang;24698;3
90;Sion;Ausgang;26371;7
91;St. Gallen;Eingang;46078;3
92;Bern;Ausgang;66257;6
93;Zürich;Eingang;29827;7
94;Basel;Ausgang;32136;11
95;Lausanne;Eingang;51773;7
96;Chur;Ausgang;10834;6
97;Sion;Eingang;68666;2
98;St. Gallen;Ausgang;53472;7
99;Bern;Eingang;12730;3
100;Zürich;Ausgang;74943;3
101;Basel;Eingang;46497;12
102;Lausanne;Ausgang;39896;7
103;Chur;Eingang;58055;8
104;Sion;Ausgang;73261;3
105;St. Gallen;Eingang;7825;12
106;Bern;Ausgang;25676;3
107;Zürich;Eingang;68168;5
108;Basel;Ausgang;41961;6
109;Lausanne;Eingang;74482;2
110;Chur;Ausgang;63346;10
111;Sion;Eingang;67409;1
112;St. Gallen;Ausgang;8842;12
113;Bern;Eingang;40829;3
114;Zürich;Ausgang;67369;7
115;Basel;Eingang;74172;4
116;Lausanne;Ausgang;651;9
117;Chur;Eingang;6282;3
118;Sion;Ausgang;11269;3
119;St. Gallen;Eingang;26161;12
120;Bern;Ausgang;35879;6
121;Zürich;Eingang;4466;9
122;Basel;Ausgang;29229;2
123;Lausanne;Eingang;64510;12
124;Chur;Ausgang;66302;12
125;Sion;Eingang;6776;12
126;St. Gallen;Ausgang;26969;9
127;Bern;Eingang;13186;10
128;Zürich;Ausgang;34215;5
129;Basel;Eingang;74308;1
130;Lausanne;Ausgang;3577;2
131;Chur;Eingang;5758;8
132;Sion;Ausgang;30618;1
133;St. Gallen;Eingang;10529;4
134;Bern;Ausgang;61949;4
135;Zürich;Eingang;62830;5
136;Basel;Ausgang;32822;8
137;Lausanne;Eingang;2075;6
138;Chur;Ausgang;67359;3
139;Sion;Eingang;38685;4
140;St. Gallen;Ausgang;16736;3
141;Bern;Eingang;14137;2
142;Zürich;Ausgang;64856;11
143;Basel;Eingang;73515;1
144;Lausanne;Ausgang;36027;8
145;Chur;Eingang;49221;12
146;Sion;Ausgang;415;1
147;St. Gallen;Eingang;47983;7
148;Bern;Ausgang;35781;6
149;Zürich;Eingang;29625;6
150;Basel;Ausgang;60138;6
151;Lausanne;Eingang;26623;3
152;Chur;Ausgang;1551;6
153;Sion;Eingang;10396;12
154;St. Gallen;Ausgang;58329;8
155;Bern;Eingang;75462;2
156;Zürich;Ausgang;68653;8
157;Basel;Eingang;46214;4
158;Lausanne;Ausgang;44206;4
159;Chur;Eingang;64918;9
160;Sion;Ausgang;39481;2
161;St. Gallen;Eingang;730;2
162;Bern;Ausgang;38309;7
163;Zürich;Eingang;8790;11
164;Basel;Ausgang;15781;8
165;Lausanne;Eingang;24746;4
166;Chur;Ausgang;24921;4
167;Sion;Eingang;55383;2
168;St. Gallen;Ausgang;56369;8
169;Bern;Eingang;69703;9
170;Zürich;Ausgang;38040;12
171;Basel;Eingang;408;11
172;Lausanne;Ausgang;22283;8
173;Chur;Eingang;72943;11
174;Sion;Ausgang;59984;1
175;St. Gallen;Eingang;53689;4
176;Bern;Ausgang;69982;9
177;Zürich;Eingang;68620;1
178;Basel;Ausgang;32708;1
179;Lausanne;Eingang;29695;9
180;Chur;Ausgang;43613;11
181;Sion;Eingang;33124;10
182;St. Gallen;Ausgang;27637;11
183;Bern;Eingang;56811;5
184;Zürich;Ausgang;66074;8
185;Basel;Eingang;46543;4
186;Lausanne;Ausgang;43695;1
187;Chur;Eingang;17953;2
188;Sion;Ausgang;34079;10
189;St. Gallen;Eingang;5788;12
190;Bern;Ausgang;11321;10
191;Zürich;Eingang;33975;5
192;Basel;Ausgang;27942;12
193;Lausanne;Eingang;63495;3
194;Chur;Ausgang;21973;7
195;Sion;Eingang;43512;3
196;St. Gallen;Ausgang;46826;2
197;Bern;Eingang;13451;3
198;Zürich;Ausgang;22078;9
199;Basel;Eingang;9304;11
200;Lausanne;Ausgang;55562;7
201;Chur;Eingang;30542;1
202;Sion;Ausgang;35566;2
203;St. Gallen;Eingang;37407;1
204;Bern;Ausgang;26315;12
205;Zürich;Eingang;56313;8
206;Basel;Ausgang;32352;11
207;Lausanne;Eingang;72685;8
208;Chur;Ausgang;40924;8
209;Sion;Eingang;12230;7
210;St. Gallen;Ausgang;22545;10
211;Bern;Eingang;34328;3
212;Zürich;Ausgang;37636;5
213;Basel;Eingang;49374;4
214;Lausanne;Ausgang;2109;12
215;Chur;Eingang;71564;10
216;Sion;Ausgang;41798;8
217;St. Gallen;Eingang;23155;9
218;Bern;Ausgang;40079;10
219;Zürich;Eingang;15940;8
220;Basel;Ausgang;24189;11
221;Lausanne;Eingang;2906;1
222;Chur;Ausgang;15736;12
223;Sion;Eingang;23701;5
224;St. Gallen;Ausgang;76603;10
225;Bern;Eingang;73175;5
226;Zürich;Ausgang;24400;6
227;Basel;Eingang;59672;7
228;Lausanne;Ausgang;58584;9
229;Chur;Eingang;49473;1
230;Sion;Ausgang;76248;7
231;St. Gallen;Eingang;64225;9
232;Bern;Ausgang;48730;4
233;Zürich;Eingang;58631;8
234;Basel;Ausgang;14036;2
235;Lausanne;Eingang;58121;8
236;Chur;Ausgang;4982;8
237;Sion;Eingang;30353;11
238;St. Gallen;Ausgang;52130;4
239;Bern;Eingang;2386;10
240;Zürich;Ausgang;27377;10
241;Basel;Eingang;26623;12
242;Lausanne;Ausgang;19412;4
243;Chur;Eingang;12384;7
244;Sion;Ausgang;44638;11
245;St. Gallen;Eingang;35753;4
246;Bern;Ausgang;44018;4
247;Zürich;Eingang;8649;2
248;Basel;Ausgang;428;9
249;Lausanne;Eingang;10716;8
250;Chur;Ausgang;18880;9
251;Sion;Eingang;6126;7
252;St. Gallen;Ausgang;28063;5
253;Bern;Eingang;30079;2
254;Zürich;Ausgang;62771;5
255;Basel;Eingang;43977;10
256;Lausanne;Ausgang;30282;5
257;Chur;Eingang;74637;1
258;Sion;Ausgang;32520;8
259;St. Gallen;Eingang;26897;11
260;Bern;Ausgang;10965;3
261;Zürich;Eingang;52604;9
262;Basel;Ausgang;57455;9
263;Lausanne;Eingang;11969;9
264;Chur;Ausgang;54656;12
265;Sion;Eingang;45061;2
266;St. Gallen;Ausgang;3501;1
267;Bern;Eingang;8353;2
268;Zürich;Ausgang;58822;9
269;Basel;Eingang;33729;11
270;Lausanne;Ausgang;46832;9
271;Chur;Eingang;49117;12
272;Sion;Ausgang;38642;1
273;St. Gallen;Eingang;59580;2
274;Bern;Ausgang;17377;8
275;Zürich;Eingang;58348;3
276;Basel;Ausgang;40701;4
277;Lausanne;Eingang;55111;10
278;Chur;Ausgang;74907;3
279;Sion;Eingang;16293;10
280;St. Gallen;Ausgang;39067;8
281;Bern;Eingang;17690;1
282;Zürich;Ausgang;3858;9
283;Basel;Eingang;19896;5
284;Lausanne;Ausgang;5366;6
285;Chur;Eingang;60907;1
286;Sion;Ausgang;58387;11
287;St. Gallen;Eingang;14332;10
288;Bern;Ausgang;51862;2
289;Zürich;Eingang;48927;1
290;Basel;Ausgang;52550;7
291;Lausanne;Eingang;30216;11
292;Chur;Ausgang;846;10
293;Sion;Eingang;3218;6
294;St. Gallen;Ausgang;16958;2
295;Bern;Eingang;20063;12
296;Zürich;Ausgang;3241;5
297;Basel;Eingang;50092;11
298;Lausanne;Ausgang;74973;7
299;Chur;Eingang;54005;3
300;Sion;Ausgang;5751;3
301;St. Gallen;Eingang;58565;9
302;Bern;Ausgang;2613;2
303;Zürich;Eingang;10199;9
304;Basel;Ausgang;58152;5
305;Lausanne;Eingang;16525;1
306;Chur;Ausgang;1237;2
307;Sion;Eingang;56985;9
308;St. Gallen;Ausgang;26315;1
309;Bern;Eingang;73259;7
310;Zürich;Ausgang;17461;9
311;Basel;Eingang;55736;11
312;Lausanne;Ausgang;59488;10
313;Chur;Eingang;17709;10
314;Sion;Ausgang;27575;3
315;St. Gallen;Eingang;4633;8
316;Bern;Ausgang;17293;8
317;Zürich;Eingang;66504;11
318;Basel;Ausgang;10187;3
319;Lausanne;Eingang;36379;12
320;Chur;Ausgang;51348;10
321;Sion;Eingang;17777;9
322;St. Gallen;Ausgang;71539;11
323;Bern;Eingang;27703;6
324;Zürich;Ausgang;12354;9
325;Basel;Eingang;4224;11
326;Lausanne;Ausgang;62169;5
327;Chur;Eingang;43018;3
328;Sion;Ausgang;69491;8
329;St. Gallen;Eingang;75773;10
330;Bern;Ausgang;49688;2
331;Zürich;Eingang;35231;11
332;Basel;Ausgang;13991;6
333;Lausanne;Eingang;36583;10
334;Chur;Ausgang;17662;8
335;Sion;Eingang;67962;11
336;St. Gallen;Ausgang;15999;10
337;Bern;Eingang;15410;10
338;Zürich;Ausgang;29194;2
339;Basel;Eingang;15449;3
340;Lausanne;Ausgang;16068;12
341;Chur;Eingang;8982;4
342;Sion;Ausgang;29339;9
343;St. Gallen;Eingang;2176;11
344;Bern;Ausgang;66490;8
345;Zürich;Eingang;26626;1
346;Basel;Ausgang;75049;1
347;Lausanne;Eingang;75518;10
348;Chur;Ausgang;31488;5
349;Sion;Eingang;45615;7
350;St. Gallen;Ausgang;7413;2
351;Bern;Eingang;54965;12
352;Zürich;Ausgang;29692;8
353;Basel;Eingang;52341;12
354;Lausanne;Ausgang;14136;10
355;Chur;Eingang;69389;8
356;Sion;Ausgang;36313;1
357;St. Gallen;Eingang;7411;8
358;Bern;Ausgang;14924;3
359;Zürich;Eingang;57997;2
360;Basel;Ausgang;73558;12
361;Lausanne;Eingang;4342;5
362;Chur;Ausgang;22478;11
363;Sion;Eingang;22299;8
364;St. Gallen;Ausgang;21579;8
365;Bern;Eingang;9380;4
366;Zürich;Ausgang;30711;11
367;Basel;Eingang;58466;9
368;Lausanne;Ausgang;28570;6
369;Chur;Eingang;13251;11
370;Sion;Ausgang;59224;1
371;St. Gallen;Eingang;31508;9
372;Bern;Ausgang;29353;2
373;Zürich;Eingang;32194;8
374;Basel;Ausgang;29169;10
375;Lausanne;Eingang;72020;1
376;Chur;Ausgang;54008;3
377;Sion;Eingang;76043;8
378;St. Gallen;Ausgang;71958;7
379;Bern;Eingang;2507;5
380;Zürich;Ausgang;67741;12
381;Basel;Eingang;35334;12
382;Lausanne;Ausgang;44630;8
383;Chur;Eingang;35876;5
384;Sion;Ausgang;44055;1
385;St. Gallen;Eingang;14504;3
386;Bern;Ausgang;14710;10
387;Zürich;Eingang;40925;12
388;Basel;Ausgang;65035;4
389;Lausanne;Eingang;73851;11
390;Chur;Ausgang;57941;9
391;Sion;Eingang;1492;5
392;St. Gallen;Ausgang;14525;8
393;Bern;Eingang;20222;12
394;Zürich;Ausgang;31272;5
395;Basel;Eingang;73028;8
396;Lausanne;Ausgang;72702;3
397;Chur;Eingang;39853;3
398;Sion;Ausgang;19345;9
399;St. Gallen;Eingang;69102;5
400;Bern;Ausgang;39940;9
401;Zürich;Eingang;32983;2
402;Basel;Ausgang;10658;7
403;Lausanne;Eingang;47567;5
404;Chur;Ausgang;35421;10
405;Sion;Eingang;53551;5
406;St. Gallen;Ausgang;70117;3
407;Bern;Eingang;60975;6
408;Zürich;Ausgang;69330;5
409;Basel;Eingang;13485;1
410;Lausanne;Ausgang;1996;1
411;Chur;Eingang;23887;8
412;Sion;Ausgang;811;5
413;St. Gallen;Eingang;55942;11
414;Bern;Ausgang;12550;2
415;Zürich;Eingang;24152;7
416;Basel;Ausgang;51744;5
417;Lausanne;Eingang;42726;6
418;Chur;Ausgang;46558;4
419;Sion;Eingang;4483;6
420;St. Gallen;Ausgang;6980;2
421;Bern;Eingang;77268;5
422;Zürich;Ausgang;35747;7
423;Basel;Eingang;54943;1
424;Lausanne;Ausgang;12014;2
425;Chur;Eingang;36969;10
426;Sion;Ausgang;23135;1
427;St. Gallen;Eingang;28433;3
428;Bern;Ausgang;64199;7
429;Zürich;Eingang;10109;1
430;Basel;Ausgang;65493;12
431;Lausanne;Eingang;27684;11
432;Chur;Ausgang;5142;2
433;Sion;Eingang;58741;5
434;St. Gallen;Ausgang;47199;4
435;Bern;Eingang;76733;8
436;Zürich;Ausgang;63005;8
437;Basel;Eingang;28756;7
438;Lausanne;Ausgang;833;1
439;Chur;Eingang;72526;2
440;Sion;Ausgang;18141;11
441;St. Gallen;Eingang;11601;9
442;Bern;Ausgang;26379;12
443;Zürich;Eingang;22644;4
444;Basel;Ausgang;21322;11
445;Lausanne;Eingang;9392;3
446;Chur;Ausgang;33683;1
447;Sion;Eingang;57572;7
448;St. Gallen;Ausgang;55596;8
449;Bern;Eingang;64194;6
450;Zürich;Ausgang;10292;4
451;Basel;Eingang;32737;1
452;Lausanne;Ausgang;75377;11
453;Chur;Eingang;40207;9
454;Sion;Ausgang;2298;9
455;St. Gallen;Eingang;73738;12
456;Bern;Ausgang;41620;7
457;Zürich;Eingang;44208;11
458;Basel;Ausgang;75598;8
459;Lausanne;Eingang;28543;3
460;Chur;Ausgang;11754;3
461;Sion;Eingang;61854;8
462;St. Gallen;Ausgang;72596;3
463;Bern;Eingang;8848;6
464;Zürich;Ausgang;54590;8
465;Basel;Eingang;17338;1
466;Lausanne;Ausgang;44833;6
467;Chur;Eingang;23755;7
468;Sion;Ausgang;55743;5
469;St. Gallen;Eingang;76406;2
470;Bern;Ausgang;1962;6
471;Zürich;Eingang;8148;9
472;Basel;Ausgang;33364;5
473;Lausanne;Eingang;39039;7
474;Chur;Ausgang;73855;12
475;Sion;Eingang;27356;7
476;St. Gallen;Ausgang;8159;10
477;Bern;Eingang;22059;9
478;Zürich;Ausgang;73855;2
479;Basel;Eingang;20226;2
480;Lausanne;Ausgang;43591;11
481;Chur;Eingang;58133;9
482;Sion;Ausgang;22574;5
483;St. Gallen;Eingang;42723;1
484;Bern;Ausgang;60199;8
485;Zürich;Eingang;30006;4
486;Basel;Ausgang;8390;1
487;Lausanne;Eingang;74051;5
488;Chur;Ausgang;63427;2
489;Sion;Eingang;49239;3
490;St. Gallen;Ausgang;31396;6
491;Bern;Eingang;26982;8
492;Zürich;Ausgang;26546;2
493;Basel;Eingang;5779;10
494;Lausanne;Ausgang;32056;8
495;Chur;Eingang;74811;8
496;Sion;Ausgang;70765;1
497;St. Gallen;Eingang;9212;11
498;Bern;Ausgang;75530;3
499;Zürich;Eingang;59214;6
500;Basel;Ausgang;43954;4
501;Lausanne;Eingang;39741;10
502;Chur;Ausgang;36728;11
503;Sion;Eingang;17018;11
504;St. Gallen;Ausgang;23099;10
505;Bern;Eingang;25008;9
506;Zürich;Ausgang;49087;9
507;Basel;Eingang;63879;1
508;Lausanne;Ausgang;69325;11
509;Chur;Eingang;48665;3
510;Sion;Ausgang;43326;5
511;St. Gallen;Eingang;51521;12
512;Bern;Ausgang;5970;12
513;Zürich;Eingang;33722;3
514;Basel;Ausgang;15570;4
515;Lausanne;Eingang;73319;1
516;Chur;Ausgang;23398;6
517;Sion;Eingang;7809;9
518;St. Gallen;Ausgang;42357;7
519;Bern;Eingang;22250;9
520;Zürich;Ausgang;71659;4
521;Basel;Eingang;70891;3
522;Lausanne;Ausgang;42710;8
523;Chur;Eingang;62053;4
524;Sion;Ausgang;34806;10
525;St. Gallen;Eingang;61701;4
526;Bern;Ausgang;29399;3
527;Zürich;Eingang;14019;3
528;Basel;Ausgang;36669;5
529;Lausanne;Eingang;19689;7
530;Chur;Ausgang;14481;3
531;Sion;Eingang;59230;1
532;St. Gallen;Ausgang;41092;6
533;Bern;Eingang;49463;8
534;Zürich;Ausgang;17601;5
535;Basel;Eingang;20426;3
536;Lausanne;Ausgang;20444;3
537;Chur;Eingang;56911;2
538;Sion;Ausgang;18452;8
539;St. Gallen;Eingang;36124;12
540;Bern;Ausgang;65790;4
541;Zürich;Eingang;31873;5
542;Basel;Ausgang;33995;3
543;Lausanne;Eingang;57735;8
544;Chur;Ausgang;36804;2
545;Sion;Eingang;14084;12
546;St. Gallen;Ausgang;21347;5
547;Bern;Eingang;69354;8
548;Zürich;Ausgang;9275;2
549;Basel;Eingang;57664;6
550;Lausanne;Ausgang;51308;10
551;Chur;Eingang;51282;3
552;Sion;Ausgang;48540;3
553;St. Gallen;Eingang;51042;5
554;Bern;Ausgang;41154;3
555;Zürich;Eingang;10409;9
556;Basel;Ausgang;399;4
557;Lausanne;Eingang;16714;1
558;Chur;Ausgang;75513;11
559;Sion;Eingang;49955;12
560;St. Gallen;Ausgang;2171;9
561;Bern;Eingang;38863;1
562;Zürich;Ausgang;69011;4
563;Basel;Eingang;40208;12
564;Lausanne;Ausgang;31301;8
565;Chur;Eingang;26832;4
566;Sion;Ausgang;70425;2
567;St. Gallen;Eingang;29470;9
568;Bern;Ausgang;34786;12
569;Zürich;Eingang;33521;8
570;Basel;Ausgang;2528;4
571;Lausanne;Eingang;1729;8
572;Chur;Ausgang;35456;9
573;Sion;Eingang;20286;8
574;St. Gallen;Ausgang;62997;5
575;Bern;Eingang;42158;9
576;Zürich;Ausgang;12313;6
577;Basel;Eingang;1333;6
578;Lausanne;Ausgang;51338;1
579;Chur;Eingang;32911;6
580;Sion;Ausgang;63418;5
581;St. Gallen;Eingang;70367;4
582;Bern;Ausgang;7901;8
583;Zürich;Eingang;64835;2
584;Basel;Ausgang;50701;9
585;Lausanne;Eingang;22226;8
586;Chur;Ausgang;68915;12
587;Sion;Eingang;58518;7
588;St. Gallen;Ausgang;23316;7
589;Bern;Eingang;15836;1
590;Zürich;Ausgang;61101;7
591;Basel;Eingang;47037;10
592;Lausanne;Ausgang;66939;1
593;Chur;Eingang;515;2
594;Sion;Ausgang;18311;11
595;St. Gallen;Eingang;13207;8
596;Bern;Ausgang;63368;9
597;Zürich;Eingang;44837;12
598;Basel;Ausgang;21390;7
599;Lausanne;Eingang;53097;6
600;Chur;Ausgang;47832;9
601;Sion;Eingang;28822;7
602;St. Gallen;Ausgang;27542;3
603;Bern;Eingang;40582;4
604;Zürich;Ausgang;27598;4
605;Basel;Eingang;74345;11
606;Lausanne;Ausgang;14349;10
607;Chur;Eingang;15339;6
608;Sion;Ausgang;8251;3
609;St. Gallen;Eingang;66241;9
610;Bern;Ausgang;11633;1
611;Zürich;Eingang;3922;5
612;Basel;Ausgang;60501;6
613;Lausanne;Eingang;65552;4
614;Chur;Ausgang;60470;12
615;Sion;Eingang;45932;9
616;St. Gallen;Ausgang;21119;8
617;Bern;Eingang;34112;7
618;Zürich;Ausgang;71476;8
619;Basel;Eingang;5802;5
620;Lausanne;Ausgang;62653;8
621;Chur;Eingang;15825;7
622;Sion;Ausgang;9044;5
623;St. Gallen;Eingang;18165;5
624;Bern;Ausgang;37988;6
625;Zürich;Eingang;12465;10
626;Basel;Ausgang;16074;4
627;Lausanne;Eingang;19255;2
628;Chur;Ausgang;1992;12
629;Sion;Eingang;66508;7
630;St. Gallen;Ausgang;10071;5
631;Bern;Eingang;16588;5
632;Zürich;Ausgang;8221;6
633;Basel;Eingang;26442;12
634;Lausanne;Ausgang;2447;7
635;Chur;Eingang;27161;8
636;Sion;Ausgang;75300;1
637;St. Gallen;Eingang;34777;6
638;Bern;Ausgang;37064;8
639;Zürich;Eingang;60403;1
640;Basel;Ausgang;40465;9
641;Lausanne;Eingang;59410;7
642;Chur;Ausgang;46581;9
643;Sion;Eingang;72290;5
644;St. Gallen;Ausgang;13560;8
645;Bern;Eingang;71928;8
646;Zürich;Ausgang;42658;4
647;Basel;Eingang;44445;2
648;Lausanne;Ausgang;76181;3
649;Chur;Eingang;27508;6
650;Sion;Ausgang;71705;12
651;St. Gallen;Eingang;62638;7
652;Bern;Ausgang;69133;3
653;Zürich;Eingang;180;7
654;Basel;Ausgang;69120;11
655;Lausanne;Eingang;3963;4
656;Chur;Ausgang;12776;8
657;Sion;Eingang;20860;3
658;St. Gallen;Ausgang;23131;1
659;Bern;Eingang;10283;6
660;Zürich;Ausgang;66901;3
661;Basel;Eingang;25795;2
662;Lausanne;Ausgang;2498;6
663;Chur;Eingang;62470;11
664;Sion;Ausgang;25961;9
665;St. Gallen;Eingang;46777;8
666;Bern;Ausgang;26594;5
667;Zürich;Eingang;4472;6
668;Basel;Ausgang;34196;5
669;Lausanne;Eingang;74040;3
670;Chur;Ausgang;47810;10
671;Sion;Eingang;45501;12
672;St. Gallen;Ausgang;65965;2
673;Bern;Eingang;50696;9
674;Zürich;Ausgang;56801;11
675;Basel;Eingang;65880;11
676;Lausanne;Ausgang;53262;2
677;Chur;Eingang;21699;7
678;Sion;Ausgang;27007;7
679;St. Gallen;Eingang;63422;4
680;Bern;Ausgang;18895;2
681;Zürich;Eingang;17517;6
682;Basel;Ausgang;70294;8
683;Lausanne;Eingang;65764;10
684;Chur;Ausgang;15391;1
685;Sion;Eingang;71055;10
686;St. Gallen;Ausgang;41355;10
687;Bern;Eingang;31199;6
688;Zürich;Ausgang;69245;7
689;Basel;Eingang;68500;11
690;Lausanne;Ausgang;68124;9
691;Chur;Eingang;53064;3
692;Sion;Ausgang;31785;4
693;St. Gallen;Eingang;58907;9
694;Bern;Ausgang;76931;9
695;Zürich;Eingang;74849;1
696;Basel;Ausgang;65026;1
697;Lausanne;Eingang;42382;4
698;Chur;Ausgang;17668;10
699;Sion;Eingang;70406;4
700;St. Gallen;Ausgang;49316;6
701;Bern;Eingang;69220;5
702;Zürich;Ausgang;14838;10
703;Basel;Eingang;70583;2
704;Lausanne;Ausgang;59029;11
705;Chur;Eingang;66463;7
706;Sion;Ausgang;20913;6
707;St. Gallen;Eingang;31214;4
708;Bern;Ausgang;9635;7
709;Zürich;Eingang;18131;6
710;Basel;Ausgang;854;7
711;Lausanne;Eingang;2966;8
712;Chur;Ausgang;71384;3
713;Sion;Eingang;72570;4
714;St. Gallen;Ausgang;6006;4
715;Bern;Eingang;49763;6
716;Zürich;Ausgang;48232;3
717;Basel;Eingang;7664;12
718;Lausanne;Ausgang;34741;11
719;Chur;Eingang;72989;3
720;Sion;Ausgang;49501;2
721;St. Gallen;Eingang;37943;8
722;Bern;Ausgang;43801;11
723;Zürich;Eingang;49170;7
724;Basel;Ausgang;58971;3
725;Lausanne;Eingang;14488;3
726;Chur;Ausgang;25292;6
727;Sion;Eingang;52961;5
728;St. Gallen;Ausgang;28535;4
729;Bern;Eingang;37173;4
730;Zürich;Ausgang;74125;9
731;Basel;Eingang;58275;10
732;Lausanne;Ausgang;64608;11
733;Chur;Eingang;30973;1
734;Sion;Ausgang;61307;6
735;St. Gallen;Eingang;6820;10
736;Bern;Ausgang;32086;7
737;Zürich;Eingang;62423;12
738;Basel;Ausgang;3923;6
739;Lausanne;Eingang;20082;5
740;Chur;Ausgang;35771;1
741;Sion;Eingang;9270;7
742;St. Gallen;Ausgang;32718;5
743;Bern;Eingang;40192;6
744;Zürich;Ausgang;15440;6
745;Basel;Eingang;32704;2
746;Lausanne;Ausgang;11460;2
747;Chur;Eingang;22256;10
748;Sion;Ausgang;69257;1
749;St. Gallen;Eingang;71302;11
750;Bern;Ausgang;55476;2
751;Zürich;Eingang;31020;1
752;Basel;Ausgang;44531;10
753;Lausanne;Eingang;2393;8
754;Chur;Ausgang;27350;8
755;Sion;Eingang;61127;1
756;St. Gallen;Ausgang;33679;6
757;Bern;Eingang;7328;10
758;Zürich;Ausgang;74390;8
759;Basel;Eingang;68149;9
760;Lausanne;Ausgang;10119;7
761;Chur;Eingang;1878;6
762;Sion;Ausgang;53364;11
763;St. Gallen;Eingang;28809;7
764;Bern;Ausgang;68753;11
765;Zürich;Eingang;46099;6
766;Basel;Ausgang;21178;10
767;Lausanne;Eingang;4700;10
768;Chur;Ausgang;15565;5
769;Sion;Eingang;54607;9
770;St. Gallen;Ausgang;22085;5
771;Bern;Eingang;65660;2
772;Zürich;Ausgang;35514;3
773;Basel;Eingang;15416;2
774;Lausanne;Ausgang;12065;5
775;Chur;Eingang;33451;11
776;Sion;Ausgang;34180;12
777;St. Gallen;Eingang;72624;11
778;Bern;Ausgang;25478;8
779;Zürich;Eingang;55614;1
780;Basel;Ausgang;4382;9
781;Lausanne;Eingang;54443;6
782;Chur;Ausgang;36348;11
783;Sion;Eingang;8793;5
784;St. Gallen;Ausgang;59321;11
785;Bern;Eingang;11875;5
786;Zürich;Ausgang;20221;11
787;Basel;Eingang;31950;5
788;Lausanne;Ausgang;56140;12
789;Chur;Eingang;32567;3
790;Sion;Ausgang;74307;1
791;St. Gallen;Eingang;36128;8
792;Bern;Ausgang;69388;8
793;Zürich;Eingang;55705;6
794;Basel;Ausgang;77409;12
795;Lausanne;Eingang;14549;12
796;Chur;Ausgang;47012;10
797;Sion;Eingang;15202;12
798;St. Gallen;Ausgang;7803;7
799;Bern;Eingang;52093;3
800;Zürich;Ausgang;65236;12
801;Basel;Eingang;27270;3
802;Lausanne;Ausgang;46121;5
803;Chur;Eingang;61855;6
804;Sion;Ausgang;48839;2
